Organization/Person Name,Description,Organization/Person Name URL,Specific VC Binary
Eberhard Schmidt,Eberhard Schmidt,https://www.crunchbase.com/person/eberhard-schmidt-e647,
Alon Lits,Alon Lits,https://www.crunchbase.com/person/alon-lits,
Dhruv Patel,Dhruv Patel,https://www.crunchbase.com/person/dhruv-patel-2,
Theo Lee,"Passion driven entrepreneur, and full-time student.  Founder of HKSoft, a software development firm specializing in blockchain technologies...",https://www.crunchbase.com/person/theo-lee-1e35,
Beat Nideröst,Beat Nideröst,https://www.crunchbase.com/person/beat-nideröst,
Väino Kaldoja,Väino Kaldoja,https://www.crunchbase.com/person/väino-kaldoja,
Guy Holmes,Guy Holmes,https://www.crunchbase.com/person/guy-holmes-5d2a,
Dieter Willems,Dieter Willems is the Business Consultant for Digital Automation at Umicore.,https://www.crunchbase.com/person/dieter-willems-ff02,
Philippos Kourkoulos Latsis,Philippos Kourkoulos Latsis is an individual investor,https://www.crunchbase.com/person/philippos-kourkoulos-latsis-4d1d,
Gabriela Macagni,Gabriela Macagni,https://www.crunchbase.com/person/gabriela-macagni,
Nicolaj Christensen,Nicolaj Christensen,https://www.crunchbase.com/person/nicolaj-christensen-cb4d,
Charles Sunnen,Charles Sunnen,https://www.crunchbase.com/person/charles-sunnen,
Ranjit Mene,Ranjit Mene is a strategic development - Northern Europe from RINA. He has completed his MBA from INSEAD.,https://www.crunchbase.com/person/ranjit-mene,
Andreas Adler,Andreas Adler Project Manager | Event Consultant | Live Communication | Concepts | Hybrid is THE NEW LIVE,https://www.crunchbase.com/person/andreas-adler-9e1e,
James Hutt,James Hutt,https://www.crunchbase.com/person/james-hutt-af01,
Craig Sears-Black,"Craig Sears-Black is the Chief Executive Officer, Technology at EV Cargo.",https://www.crunchbase.com/person/craig-sears-black,
Daglar Cizmeci,Daglar Cizmeci,https://www.crunchbase.com/person/daglar-cizmeci,
Slawomir Szymankiewicz,Slawek Szymankiewicz,https://www.crunchbase.com/person/slawomir-szymankiewicz,
Antoine Welter,Antoine Welter,https://www.crunchbase.com/person/antoine-welter,
Sean Wilkinson,Sean Wilkinson is the President of the Incentive Marketing Association Europe.,https://www.crunchbase.com/person/sean-wilkinson-128b,
Marta Ra,Marta Ra is the founder of Women In Sustainable Finance.,https://www.crunchbase.com/person/marta-ra,
Carlos Zucchi,Carlos joined ARGIS as Partner and CEO in 2020 after being an investor since 2015. He previously led Advent International’s Argentina office...,https://www.crunchbase.com/person/carlos-zucchi,
Marcos del Rio,Marcos del Rio,https://www.crunchbase.com/person/marcos-del-rio,
Dale Vince,"Dale Vince is the founder of and sole shareholder in Ecotricity, Britain's largest green energy company.",https://www.crunchbase.com/person/dale-vince,
Cyrille Foillard,Cyrille Foillard is a director general of Mobilize Financial Services.,https://www.crunchbase.com/person/cyrille-foillard,
Marc Feider,Marc Feider,https://www.crunchbase.com/person/marc-feider-9886,
Scott Keto,Scott Keto,https://www.crunchbase.com/person/scott-keto-9229,
Sybille Strack,Sybille Strack,https://www.crunchbase.com/person/sybille-strack,
Vince Proffitt,Vince Proffitt is the Founder and President of Spartan Medical. He attended United States Air Force Academy.,https://www.crunchbase.com/person/vince-proffitt-f6c9,
Adam Brown,"Adam is a Chief Executive in SSQ’s UK partner search team, having joined us in 2004. He has extensive legal recruitment experience working w...",https://www.crunchbase.com/person/adam-brown-1,
Nathalie Scardino,Nathalie Scardino,https://www.crunchbase.com/person/nathalie-scardino-8857,
Sverre Tyrhaug,Sverre Tyrhaug is a lawyer working for Thommessen,https://www.crunchbase.com/person/sverre-tyrhaug,
Benjamin Rawson,Benjamin Rawson is the Managing Director at Havisham Group. Benjamin Rawson attended Bristol Business School.,https://www.crunchbase.com/person/benjamin-rawson,
İstem Özden Alpar,İstem Özden Alpar is an individual investor.,https://www.crunchbase.com/person/i-stem-özden-alpar,
Adrien de Leener,Adrien de Leener,https://www.crunchbase.com/person/adrien-de-leener,
Anita Bachuil,Anita Bachuil,https://www.crunchbase.com/person/anita-bachuil,
Adrian Watson,Adrian Watson Chief Financial Officer at Lendable.,https://www.crunchbase.com/person/adrian-watson-965d,
Fernando Molina,Fernando Molina,https://www.crunchbase.com/person/fernando-molina-120f,
Simon Day,Simon Day,https://www.crunchbase.com/person/simon-day-7e11,
Matteo Thun,Matteo Thun,https://www.crunchbase.com/person/matteo-thun-0dce,
Gianni Tagliapietra,Gianni Tagliapietra,https://www.crunchbase.com/person/gianni-tagliapietra,
Dr. Florian Langenscheidt,Dr. Florian Langenscheidt,https://www.crunchbase.com/person/dr-florian-langenscheidt,
Luke Sartain,Luke Sartain,https://www.crunchbase.com/person/luke-sartain-9525,
Leo Groenewegen,Leo Groenewegen  is the Co-Founder & CEO at CellulaREvolution. He attended University of Bordeaux.,https://www.crunchbase.com/person/leo-groenewegen-8bac,
Marco Aschinger,Marco Aschinger,https://www.crunchbase.com/person/marco-aschinger,
Hugh Smith,Hugh Smith,https://www.crunchbase.com/person/hugh-smith-07e3,
Neil Hutchinson,Neil Hutchinson,https://www.crunchbase.com/person/neil-hutchinson-3abd,
Geoff Parsons,Geoff Parsons,https://www.crunchbase.com/person/geoff-parsons-a174,
Not revealed,Not revealed,https://www.crunchbase.com/person/not-revealed,
Marek Saykali,Marek Saykali is an individual investor in Turkey.,https://www.crunchbase.com/person/marek-saykali-00dc,
N. Kemal Yılmaz,N. Kemal Yılmaz is an Angel Investor.,https://www.crunchbase.com/person/n-kemal-yılmaz,
Robin Lowe,Robin Lowe,https://www.crunchbase.com/person/robin-lowe-0c23,
Sajida Zouarhi,Sajida Zouarhi,https://www.crunchbase.com/person/sajida-zouarhi,
Henri Isnard,Henri Isnard,https://www.crunchbase.com/person/henri-isnard,
Lord Brownlow CVO DL,Lord Brownlow CVO DL,https://www.crunchbase.com/person/lord-brownlow-cvo-dl,
Arpit Gupta,Arpit Gupta,https://www.crunchbase.com/person/arpit-gupta-6459,
Darryll Suliaman Amoako,"Darryll Suliaman Amoako is an influencer, spoken word poet, and writer.",https://www.crunchbase.com/person/darryll-suliaman-amoako,
Niccolo Perra,Niccolo Perra,https://www.crunchbase.com/person/niccolo-perra-ae6e,
Piran Altun,Piran Altun,https://www.crunchbase.com/person/piran-altun,
Louis Raine,"Storyteller, Investor, Software Engineer",https://www.crunchbase.com/person/louis-raine,
Pierre Dahan,Pierre Dahan,https://www.crunchbase.com/person/pierre-dahan,
Raheem Sterling,Raheem Sterling is an English professional footballer .,https://www.crunchbase.com/person/raheem-sterling,
Vaclav Graf,Vaclav Graf,https://www.crunchbase.com/person/vaclav-graf,
Ben Carlson,"Ben Carlson is the SVP and General Manager of Film, Television, and Streaming at MarketCast.",https://www.crunchbase.com/person/ben-carlson,
Kabir Chanrai,Kabir Chanrai is a CEO at Nirvana. He has completed his Masters in Mathematics & Computing from University of Oxford.,https://www.crunchbase.com/person/kabir-chanrai,
Dalia Aga-Shaw,Dalia Aga-Shaw,https://www.crunchbase.com/person/dalia-aga-shaw,
Peter Kaul,Peter Kaul,https://www.crunchbase.com/person/peter-kaul,
Vinay Patel,Vinay Patel is the Managing Director of Accenture.,https://www.crunchbase.com/person/vinay-patel-48fd,
Lars Rosumek,Lars Rosumek,https://www.crunchbase.com/person/lars-rosumek,
Marcin Deręgowski,Marcin Deręgowski is an Angel Investor.,https://www.crunchbase.com/person/marcin-deręgowski,
Jon Bowles,"Jon Bowles, founder of Cultural Capitalism Ltd.",https://www.crunchbase.com/person/jon-bowles,
Yohan Stern,Yohan Stern serves as CEO at Key Performance Group & President of the Los Angeles French Tech.,https://www.crunchbase.com/person/yohan-stern,
Private Investor,Private Investor,https://www.crunchbase.com/person/private-investor-e17e,
Pawel Wozniak,"Financial reporting professional, Actuary",https://www.crunchbase.com/person/pawel-wozniak-7483,
Andrew Jappy,Andrew Jappy,https://www.crunchbase.com/person/andrew-jappy,
Brad Wilson,Brad Wilson Global Product Director at GlaxoSmithKline.,https://www.crunchbase.com/person/brad-wilson-683a,
Birger Magnus,Birger Magnus,https://www.crunchbase.com/person/birger-magnus,
Damian Habib,Damian Habib,https://www.crunchbase.com/person/damian-habib-42d5,
Jean-François Bensahel,Jean-François Bensahel,https://www.crunchbase.com/person/jean-françois-bensahel,
Matthias De Clercq,Matthias De Clercq is the COO and Partner at Nexxworks. He previously worked as the Country Manager of Belgium at Coolblue. Matthias attende...,https://www.crunchbase.com/person/matthias-de-clercq,
Estating Ecosystem Investors (12),Estating Ecosystem Investors (12),https://www.crunchbase.com/person/estating-ecosystem-investors-12,
Dieter Buchl,Dieter Buchl,https://www.crunchbase.com/person/dieter-buchl,
Aleksandr Zuza,Aleksandr Zuza,https://www.crunchbase.com/person/aleksandr-zuza,
Batuhan Gültakan,Batuhan Gültakan,https://www.crunchbase.com/person/batuhan-gültakan,
Clasen Rickmers,"Clasen Rickmers, managing partner at The Asian Spirit Steamship Company.",https://www.crunchbase.com/person/clasen-rickmers,
Victor Juarez,Victor Juarez is CEO at Mi Tienda de Arte.,https://www.crunchbase.com/person/victor-juarez,
Vladimir Bondarenko,"Vladimir Bondarenko is an associate director at Intermediate Capital Group (ICG). He has completed his Bachelor of Arts (BA), Economics and ...",https://www.crunchbase.com/person/vladimir-bondarenko-d1c1,
Mark Brammer,Mark Brammer is a Strategic Investments and Growth Lead at Accenture Products UK&I.,https://www.crunchbase.com/person/mark-brammer,
Silvestro Russo,Silvestro Russo,https://www.crunchbase.com/person/silvestro-russo,
Alan Hubbard,"Angel Investor, TVL help moonbag2020@gmail.com",https://www.crunchbase.com/person/alan-hubbard-cb5d,
Nicolas Martin,Nicolas Martin,https://www.crunchbase.com/person/nicolas-martin-9600,
Kal El- Wahab,Kal El- Wahab,https://www.crunchbase.com/person/kal-el-wahab,
Katrina Barrow,Katrina Barrow,https://www.crunchbase.com/person/katrina-barrow,
Marc Vicente,Marc Vicente,https://www.crunchbase.com/person/marc-vicente,
Farid Sigari Madj,Farid Sigari Madj,https://www.crunchbase.com/person/farid-sigari-madj,
Ünal Cem Sungur,Ünal Cem Sungur,https://www.crunchbase.com/person/ünal-cem-sungur,
Tim Lawrence,Tim Lawrence is a director digital supply chain at Digital Catapult. He has completed his MBA from University of Warwick - Warwick Business ...,https://www.crunchbase.com/person/tim-lawrence-7d50,
Victoria Paraf,Victoria Paraf,https://www.crunchbase.com/person/victoria-paraf,
Meg Donovan,Meg Donovan is a Director of Uber.,https://www.crunchbase.com/person/meg-donovan-4468,
Dominique Laugier,"Dominique Laugier, founder of Furnotel.",https://www.crunchbase.com/person/dominique-laugier,
Torsten Szielasko,"Pioneer and entrepreneur in the renewable energy industry, business angel",https://www.crunchbase.com/person/torsten-szielasko,
Mia Rigo,Mia Rigo is the president at The Magic Collection Retreats.,https://www.crunchbase.com/person/mia-rigo,
Marek Frey,Marek Frey,https://www.crunchbase.com/person/marek-frey,
Maria Scuri,Maria Scuri,https://www.crunchbase.com/person/maria-scuri,
Mustafa Tutunculer,Mustafa Tutunculer,https://www.crunchbase.com/person/mustafa-tutunculer,
Poonam Sharma,Poonam Sharma (a “health veteran” at Oscar Health).,https://www.crunchbase.com/person/poonam-sharma-188a,
Estating Seed Investors (8),Estating Seed Investors (8),https://www.crunchbase.com/person/estating-seed-investors-8,
Stefan Willems,Stefan Willems is the Product Specialist at FixForm ·,https://www.crunchbase.com/person/stefan-willems-833c,
Atakan Çetin,Atakan Çetin,https://www.crunchbase.com/person/atakan-çetin,
Tenable,Tenable provides an exposure management platform to identify and mitigate risks.,https://www.crunchbase.com/organization/tenable-network-security,
Northumbria University,Northumbria is a U.K.-based university that educates its students using studying programmes at home and overseas.,https://www.crunchbase.com/organization/northumbria-university,
Radix,Radix is a stack of decentralized networks that builds without the constant threat of exploits and hacks.,https://www.crunchbase.com/organization/radix-91c2,
University of Dundee,The University of Dundee has been ranked best in the U.K. and top Internationally outside the USA for Biological Sciences.,https://www.crunchbase.com/organization/university-of-dundee,
Hepsiburada.com,"Hepsiburada is an e-commerce store offering various products such as electronics, apparel, stationery, home decor, and groceries.",https://www.crunchbase.com/organization/hepsiburada-com,
LandVault,LandVault is a programmatic monetization platform for in-game advertising.,https://www.crunchbase.com/organization/advir,
Adikteev,Adikteev is building the app engagement ecosystem to help game publishers maximizing user LTV,https://www.crunchbase.com/organization/adikteev,
Aleph Zero,Aleph Zero is a public blockchain platform developed to solve the shortcomings of current infrastructure layers in several industries.,https://www.crunchbase.com/organization/aleph-zero,
Environmental Defense Fund,Environmental Defense Fund provides solutions for environmental problems.,https://www.crunchbase.com/organization/environmental-defense-fund,
Cool Company,Cool Company is a maritime transportation company that uses clean-burning natural gas.,https://www.crunchbase.com/organization/cool-b8ca,
Monaverse,"Monaverse is the premier web3 metaverse world building platform and social network built for creators, by creators.",https://www.crunchbase.com/organization/mona-gallery-inc,
Argand Partners,Argand Partners is a private equity firm founded by prior senior investment team members of Castle Harlan Inc.,https://www.crunchbase.com/organization/argand-partners,
Sportlogiq,Sportlogiq is a venture-backed startup that develops sports statistics solutions.,https://www.crunchbase.com/organization/sportlogiq,
Kwil,"Kwil is a decentralized, community-owned SQL database solution for building advanced dApps and protocols.",https://www.crunchbase.com/organization/kwil,
RealTyme,"RealTyme is a secure, sovereign and sustainable communication and collaboration platform with privacy and humane technology at its core.",https://www.crunchbase.com/organization/realtyme,
Ecochlor,Ecochlor commercializes recently obtained patents for superior ballast water treatment technologies.,https://www.crunchbase.com/organization/ecochlor,
iwallet,iwallet is a digital reward wallet that offers services to retail points and e-commerce sites.,https://www.crunchbase.com/organization/iwallet-2dbb,
Travel Compositor,Travel Compositor offers a SaaS model and a B2B booking engine to travel companies.,https://www.crunchbase.com/organization/travel-compositor,
HTL Biotechnology,HTL Biotechnology is a manufacturer and research & development of Hyaluronan and other biological polymers by bacterial fermentation.,https://www.crunchbase.com/organization/htl,
Revenge Capital,Revenge Capital is a dynamic and fast-growing Venture Capital firm.,https://www.crunchbase.com/organization/revenge-capital,
Var Group,Var Group operates in the field of added-value IT services.,https://www.crunchbase.com/organization/var-group,
Acheter-Louer.fr,Acheter-Louer.fr specializes in publishing small professional real estate ads.,https://www.crunchbase.com/organization/acheter-louer-fr,
Phase2Phase Biopharma,"Phase2Phase Biopharma is a consulting company that offers CMC strategies, CRO, CMO, CDMO sourcing, CMC project management, and QA services.",https://www.crunchbase.com/organization/phase2phase-biopharma,
EPG Ehrhardt Partner Group,Ehrhardt + Partner GmbH & Co. KG develops software solutions for warehouse and logistics sector.,https://www.crunchbase.com/organization/epg-ehrhardt-partner-group,
Victorinox,"Victorinox offers a collection of Swiss army knives, cutlery, timepieces, travel gear, fashion, and fragrances.",https://www.crunchbase.com/organization/victorinox,
Kultura Capital Management,Kultura Capital Management is an investment firm.,https://www.crunchbase.com/organization/kultura-capital-management,
Xantaro,"Xantaro is a vendor-independent service integrator focussing on carrier-class networks & services, cloud infrastructures and orchestration.",https://www.crunchbase.com/organization/xantaro,
Christian Leone,"Christian Leone is the founder of Luxor Capital Group, LP. In addition to being CEO, Mr. Leone is a Portfolio Manager and sits on the firm’s...",https://www.crunchbase.com/person/christian-leone,
Vacuumlabs,Vacuumlabs is a technology leader in digital design and engineering supporting companies in fintech and blockchain industries.,https://www.crunchbase.com/organization/vacuumlabs,
Breuninger,Breuninger is a clothing store.,https://www.crunchbase.com/organization/breuninger,
Gain Ventures,Gain Ventures is a Web3 ecosystem that helps to build a disruptive decentralized venture to connect Web3 innovators and investors.,https://www.crunchbase.com/organization/ga-3in-ventures,
KplusV,KplusV advises small and medium-sized enterprises (SMEs) to achieve their goals.,https://www.crunchbase.com/organization/kplusv,
Vilnius University,Vilnius University is a school in Vilnius.,https://www.crunchbase.com/organization/vilnius-university,
Force 10 Partners,"Force 10 Partners is an advisory firm with deep domain knowledge in financial and operational corporate restructuring,",https://www.crunchbase.com/organization/force-10-partners,
Bucherer,Bucherer is a retailer for fine watches and jewelry.,https://www.crunchbase.com/organization/bucherer,
ASMPT,ASMPT is a leading global supplier of hardware and software solutions for the manufacture of semiconductors and electronics.,https://www.crunchbase.com/organization/asmpt,
IRIS Venture Builder,IRIS is a Venture Builder that incubates and launches differential technology companies .,https://www.crunchbase.com/organization/iris-venture-builder,
Wachsman,"Wachsman is a global, communications-based strategy consultancy.",https://www.crunchbase.com/organization/wachsman-pr,
Alexander Matthey,Alexander Matthey is the current Chief Technology Officer of Parloa. He previously worked at Adyen as a Chief Technology Officer. Alexander ...,https://www.crunchbase.com/person/alexander-matthey-c7c9,
Sergey Rizhikov,Sergey Rizhikov is the founder and CEO of Bitrix 24.,https://www.crunchbase.com/person/sergey-rizhikov,
ZEPETO,ZEPETO is an application for creates personalize avatars.,https://www.crunchbase.com/organization/zepeto,
Midpoint Brabant,Midpoint Brabant is a strategic management organization that promotes smart and sustainable business operations and growth among companies.,https://www.crunchbase.com/organization/midpoint-brabant,
Sam Mathews,"Sam Mathews is an entrepreneur most known for his exploits in the gaming community.  Best known for founding Fnatic, the worlds number 1 pr...",https://www.crunchbase.com/person/sam-mathews,
Nocturne Games,Nocturne Games aims to empower gaming studios by giving them the tools they need to be successful.,https://www.crunchbase.com/organization/nocturne-games,
FOM,FOM is an investment firm that focuses on investing in companies that focuses on the food industry.,https://www.crunchbase.com/organization/fom-736f,
IWB Industrielle Werke Basel,"IWB is a commercial company that specializes in energy, water and telecommunications service.",https://www.crunchbase.com/organization/iwb-industrielle-werke-basel,
Strength Capital,Strength Capital is a private equity firm that invests in businesses with $4 million to $20 million in EBITDA.,https://www.crunchbase.com/organization/strength-capital,
Horst Brandstätter Group,Horst Brandstätter Group is a global investor and known for playmobil and lechuza.,https://www.crunchbase.com/organization/horst-brandstätter-group,
Prosto VC,"Prosto VC is an international community of angel investors and syndicators, created for joint investments in startups around the world",https://www.crunchbase.com/organization/prosto-vc,
Bimeda Ireland,"Bimeda Ireland is a global manufacturer, marketer and distributor of animal health products and veterinary pharmaceuticals.",https://www.crunchbase.com/organization/bimeda,
Applifting,"Applifting is an AI-driven software firm that offers mobile app development, software modernization, and applied AI services.",https://www.crunchbase.com/organization/applifting-683e,
Found Capital,Found Capital invests in early stage companies.,https://www.crunchbase.com/organization/found-capital,
"Center for Digital Technology and Management, CDTM","CDTM offers the interdisciplinary add-on study program „Technology Management“, which is part of the Elite Network of Bavaria.",https://www.crunchbase.com/organization/cdtm,
Deon Digital,Deon Digital is a software company that offers legal contract lifecycle and data management technology solutions,https://www.crunchbase.com/organization/deon-digital-ag,
London Marathon Charitable Trust,London Marathon Charitable Trust provides funding to raise money for sport and recreational facilities.,https://www.crunchbase.com/organization/london-marathon-charitable-trust,
361,361.Ventures is a growth hacking & product studio.,https://www.crunchbase.com/organization/361-ventures,
MindTitan,MindTitan provides business consulting services.,https://www.crunchbase.com/organization/mindtitan,
Amaury Group,"Amaury Group is an independent family-owned group that owns L'Équipe, owns and organizes unique sporting events with ASO as well.",https://www.crunchbase.com/organization/amaury-group,
Einar Willumsen,Einar Willumsen is a manufacturer and supplier of flavour solutions for national and international beverage and food producing industries.,https://www.crunchbase.com/organization/einar-willumsen,
GamesUp42,A Full Ecosystem for Video Games,https://www.crunchbase.com/organization/gamesup42,
Prosenio,"Prosenio supplies throughout Europe medical supplies, hearing care professionals, opticians, pharmacies, senior shops etc.",https://www.crunchbase.com/organization/prosenio,
MAINGAU Energie,MAINGAU Energie provides electricity and gas: They are a nationwide energy supplier that thinks ahead.,https://www.crunchbase.com/organization/maingau-energie,
HSPG,"HSPG is a social impact real estate investor, but also invests in innovative ventures across sectors that have a positive impact.",https://www.crunchbase.com/organization/hs-property-group,
Erasmus MC,Erasmus MC is the largest and most versatile of the eight university medical centers in the Netherlands.,https://www.crunchbase.com/organization/erasmus-mc,
Hager Group,"Hager Group provides solutions and services for electrical installations in residential, commercial & industrial buildings.",https://www.crunchbase.com/organization/hager-group,
Reorganiza,"Reorganiza offers various services in the areas of credit, insurance, savings and investment, coaching, and training.",https://www.crunchbase.com/organization/reorganiza,
Weng Fine Art,Weng Fine Art AG a Germany-based company engaged in the field of art trading,https://www.crunchbase.com/organization/weng-fine-art-ag,
Clubster NSL,"Clubster NSL is a network of industries, research, and care in health and nutrition.",https://www.crunchbase.com/organization/clubster-nsl,
Baltis,Baltis is a real estate crowdfunding platform that offers real estate investment solutions.,https://www.crunchbase.com/organization/baltis,
Groupe Magellim,"Groupe Magellim focuses on investment, entrepreneurship, and asset management with multiple subsidiaries.",https://www.crunchbase.com/organization/groupe-magellim,
Corum Holding,Corum Holding is a holding company that manages and operates the sub-organization under its management.,https://www.crunchbase.com/organization/corum-f6d7,
Henderson Rowe,Henderson Rowe is an investment manager providing asset allocation solutions to small pensions and high-net-worth individuals and families.,https://www.crunchbase.com/organization/henderson-rowe,
Donor Impact Invest Fund,Donor Impact Invest Fund assists young social companies in their next stage of growth and development.,https://www.crunchbase.com/organization/donor-impact-invest-fund,
Caixa Popular,"Caixa Popular are a financial, cooperative and Valencian entity that works to offer a different, social and sustainable banking.",https://www.crunchbase.com/organization/caixa-popular,
whynow,"whynow is a creative and platform that offers British stories, clothing, video content, news, and discovers emerging talent related to arts.",https://www.crunchbase.com/organization/whynow,
Brangs + Heinrich,"Brangs + Heinrich is a manufacturing company that offers storage and logistics concepts, contract management, and sustainable packaging.",https://www.crunchbase.com/organization/brangs-heinrich,
WMH PROJECT,WMH PROJECT offers public relations and communications services.,https://www.crunchbase.com/organization/wmh-project,
AiCobot,AiCobot provides solutions for collaborative robotics and logistics.,https://www.crunchbase.com/organization/aicobot,
Rhombus Global Consulting,"Rhombus Global Consulting provides financial, venture capital, commercial banking, and real estate consulting services.",https://www.crunchbase.com/organization/rhombus-global-consulting,
ICREA,ICREA is a company that specializes in research and staffing services.,https://www.crunchbase.com/organization/icrea,
Money Meets Ideas,Money Meets Ideas is the leading informal investing platform focusing on matchmaking and networking.,https://www.crunchbase.com/organization/money-meets-ideas,
TTAF Elektronik,"TTAF Elektronik is providing interconnect solutions for defense, aerospace, automotive, industrial, telecom and led lighting applications",https://www.crunchbase.com/organization/ttaf-elektronik,
Montse Suarez,"Montse is Founding Partner at Vaultier7.    Vaultier7 (also known as V7) is a London-based, specialist private equity fund dedicated to prov...",https://www.crunchbase.com/person/montse-suarez,
Gerardo Di Giacomo,Gerardo Di Giacomo - Chief Security Officer @ Exodus,https://www.crunchbase.com/person/gerardo-di-giacomo,
ASP Capital,ASP Capital is a family investment office.,https://www.crunchbase.com/organization/asp-capital,
D&FG Elements,D&FG Elements is a venture capital investment firm that provides finance solutions.,https://www.crunchbase.com/organization/d-fg-elements,
Banca Agricola Popolare Di Rgusa,"Banca Agricola Popolare di Ragusa is a cooperative bank that provides accounts, insurance, mortgage loans and other financial services.",https://www.crunchbase.com/organization/banca-agricola-popolare-di-rgusa,
Sanitas Disruptive,Sanitas Disruptive is a program that seeks to enhance the talent of entrepreneurs and innovative startups in the field of health.,https://www.crunchbase.com/organization/sanitas-disruptive,
Kellerhals Carrard,"Kellerhals Carrard provides legal advice and services for the energy, real estate, and litigation sectors.",https://www.crunchbase.com/organization/kellerhals-carrard,
Fermob,Fermob manufactures and sells garden furniture and outdoor accessories.,https://www.crunchbase.com/organization/fermob,
Equipstore,"Equipstore is a wholesale company that specializes in home organization, product design, packaging, and distribution of storage products.",https://www.crunchbase.com/organization/equipstore,
Bergner,Bergner is a homewares retailer that sells household goods.,https://www.crunchbase.com/organization/bergner,
Inlea,"Inlea specializes in management consulting & business growth through advice & leading-edge legal, business, tech & HR solutions.",https://www.crunchbase.com/organization/inlea,
Edvinas Cernevicius,Edvinas Cernevicius is a Chief Executive Officer at Wire Salad. He attended the University of Exeter.  Entrepreneur focusing on creating dig...,https://www.crunchbase.com/person/edvinas-cernevicius,
The Angel Initiative,The Angel Initiative is to educate more women and allow them to invest in start-ups.,https://www.crunchbase.com/organization/the-angel-initiative,
Jun Capital,"Jun Capital is an investment platform that focuses on proactively sourcing, screening, syndicating, and managing equity.",https://www.crunchbase.com/organization/jun-capital-320f,
Tecno,Tecno is an energy digital and sustainable company.,https://www.crunchbase.com/organization/tecno-6990,
Motieka & Audzevičius,"Motieka & Audzevičius is a law firm that specializes in dispute resolution, complex transactions ​and special situations.",https://www.crunchbase.com/organization/motieka-audzevičius,
Nippon Beet Sugar Manufacturing,Nippon Beet Sugar Manufacturing is a sugar manufacturing enterprise that works in the food industry.,https://www.crunchbase.com/organization/nippon-beet-sugar-manufacturing,
Poonam Gupta OBE,"Poonam Gupta is a Chief Executive Officer & Founder at PG Paper Company Ltd, United Kingdom.",https://www.crunchbase.com/person/poonam-gupta-obe,
Pierre-Edouard Stérin,Pierre-Edouard Sterin is the Founder and Owner of Otium Capital. He previously worked at LaFourchette as an Owner and President of the Board...,https://www.crunchbase.com/person/pierre-edouard-stérin,
Haakon Overli,"Dawn is Europe’s largest specialist B2B software investor, with assets under management of $1.5bn. Dawn partners with founders building the ...",https://www.crunchbase.com/person/haakon-overli,
Nostrum Simul,Nostrum Simul is a family office with the mission of advancing commercial and technological initiatives.,https://www.crunchbase.com/organization/nostrum-simul,
Startup Academy,Startup Academy is an organization supporting all those who want to start and grow their own business.,https://www.crunchbase.com/organization/startup-academy-5,
Alba Pérez Foundation,"Alba Pérez Foundation is raising funds for scholarships and or grants for research against childhood cancer, Ewing's Sarcoma.",https://www.crunchbase.com/organization/alba-pérez-foundation,
University of Beira Interior,A public university in Portugal.,https://www.crunchbase.com/organization/university-of-beira-interior,
Albemarle Asset Management,Albemarle Asset Management is an asset management firm that offers funds and wealth management as well as consultancy services.,https://www.crunchbase.com/organization/albemarle-asset-management,
The Finnish Cultural Foundation,"A private foundation dedicated to promoting art, science, and other fields of intellectual and cultural endeavor in Finland.",https://www.crunchbase.com/organization/the-finnish-cultural-foundation,
The Romeu Group,The Romeu Group is a cargo logistics group.,https://www.crunchbase.com/organization/the-romeu-group,
Karolinska Institutet Holding,Karolinska Institutet Holding is a subsidiary of KI Holding AB.,https://www.crunchbase.com/organization/karolinska-institutet-holding,
Frink,Frink is an application that brings coffee lovers and coffee shops together.,https://www.crunchbase.com/organization/frink-2e0f,
Dawn Lippert,"Dawn Lippert is CEO of Elemental Excelerator, a startup program that each year funds 15-20 companies up to $1 million each to improve system...",https://www.crunchbase.com/person/dawn-lippert,
Berge y Cia,Bergé y Cía is one of the major Spanish corporate groups. ,https://www.crunchbase.com/organization/berge-y-cia,
Urania,Urania is an investment management firm that specialises in private equity and private investments in public equity.,https://www.crunchbase.com/organization/urania,
Allotherm,Allotherm is a renewable energy and energy efficiency company.,https://www.crunchbase.com/organization/allotherm,
Saphira Group,"Saphira Group offers real estate investment, asset management, private investment, private equity and marketing services.",https://www.crunchbase.com/organization/saphira-group,
AspectWorks,AspectWorks is the software company that provides IT services and solutions for enterprise customers.,https://www.crunchbase.com/organization/aspectworks,
Kinetic Private Investments,Kinetic Private Investments offers wealth management and financial planning services in the financial sector.,https://www.crunchbase.com/organization/kinetic-private-investments,
Bürgschaftsbank,"Bürgschaftsbank provides financial services, bank guarantees, and consulting services for businesses.",https://www.crunchbase.com/organization/bürgschaftsbank,
Puneet Gupta OBE,"Puneet Gupta OBE is a Co-Owner and Joint CEO, PG Paper Company Ltd.",https://www.crunchbase.com/person/puneet-gupta-obe,
Venture Faculty,"We provide guidance and connections to grow business, expand to new markets, manage finances smartly and attract investment.",https://www.crunchbase.com/organization/venture-faculty,
Good Governance Capital,Good Governance Capital provides strategic advice and capital raising assistance services.,https://www.crunchbase.com/organization/good-governance-capital,
Max Kronberg,Max Kronberg - Co-Founder and CEO @ KW-Commerce,https://www.crunchbase.com/person/max-kronberg,
Vertex Albion Capital,Vertex Albion Capital is an investment firm.,https://www.crunchbase.com/organization/vertex-albion-capital,
