Organization Name,Organization Name URL,Description,B2B Binary
iMeshup,https://www.crunchbase.com/organization/imeshup,SaaS platform that allows to import 3D files and share externally via Web or Mobile. Users can see and comment 3D files in the Cloud.,1
ADVISE,https://www.crunchbase.com/organization/advise,An automatic ADVISE engine will scan the landing page and suggest you what can be changed to increase conversion rate.,1
QRtag,https://www.crunchbase.com/organization/qrtag,Mobile applications technologies,1
Sellizer,https://www.crunchbase.com/organization/sellizer,Sellizer is the provider of comprehensive sales support tool services.,1
InMotion Labs,https://www.crunchbase.com/organization/inmotion-labs,Providing remote visual inspection of any car in just two minutes.,1
Jobsquare,https://www.crunchbase.com/organization/jobsquare,"It’s the first, and by far the only one in Poland, mobile job search app for low-skilled workers - waiters, salesmen, physical workers.",0
Literacka,https://www.crunchbase.com/organization/literacka,Literacka provide artificial intelligence to increase business opportunities for publishers and bookstores.,1
Poltreg,https://www.crunchbase.com/organization/poltreg,Poltreg was established as a spin-off from the Medical University of Gdańsk in order to develop and commercialize the patented TREG method.,1
Smablo,https://www.crunchbase.com/organization/smablo,Smablo is a simple method for creating IoT devices. Rapid prototyping and manufacturing of modular electronics systems,0
Orapa,https://www.crunchbase.com/organization/orapa,Pay for only qualified meetings on your calendar,1
HTML5 Meeting,https://www.crunchbase.com/organization/html5-meeting,HTML5 Meeting is a browser based audio-video platform utilizing WebRTC technology.,1
Gamfi,https://www.crunchbase.com/organization/gamfi,We're developing a game-changing onboarding tool to make the start and finish of an employee's journey seamless and engaging.,1
Ardeo,https://www.crunchbase.com/organization/ardeo,Ardeo services IT developers and startups founders believing in the power of inspiration.,1
RebelEco,https://www.crunchbase.com/organization/rebeleco,The company has been involved in a project to develop technology used to implement innovative and economic solutions.,1
Inpharmica,https://www.crunchbase.com/organization/inpharmica,Inpharmica offers clinical trial services to monitor undesired effects of a pain killer.,1
STERNKRAFT,https://www.crunchbase.com/organization/sternkraft,Intelligent Video Analysis Systems for Transportation based on the IoT Edge Computing and Computer Vision,1
Solwit eko,https://www.crunchbase.com/organization/solwit-eko,Solwit SA develops and tests IT solutions and provides software-related services for clients in various industries.,1
Quantum CX,https://www.crunchbase.com/organization/quantum-lab-co,Quantum CX is all about detecting smiles and motivating customer service behavior to smile more.,1
Patent Fund,https://www.crunchbase.com/organization/patent-fund,"Patent Fund is a company that helps scientists get help for their projects, with both materials and grants.",1
InStream,https://www.crunchbase.com/organization/instream-io,Relation Management Platform. CRm alternative for customer-focused companies. Flexible tool which can be integrated with any mailbox and SM,1
Podioom,https://www.crunchbase.com/organization/podioom,PODIOOM is a mobile platform that matches potential clients with trainers.,0
Vizum Lab,https://www.crunchbase.com/organization/vizum-lab,Vizum offers location based business intelligence solutions.,1
Prodromus,https://www.crunchbase.com/organization/prodromus,"Prodromus is the creator of Prodrobot, an automatized, advanced medical device for gait rehabilitation.",1
Unigluko,https://www.crunchbase.com/organization/unigluko,uniGluko is a mobile device and application system for the control and management of diabetes.,0
mobiCTG,https://www.crunchbase.com/organization/mobictg,mobiCTG is a mobile device that allows to analyse foetus well-being outside a medical unit.,1
Deventiv,https://www.crunchbase.com/organization/deventiv,Deventiv Automation Oral Scanner (DAOS) – new generation of digital dentistry.,1
PINmaster,https://www.crunchbase.com/organization/pinmaster,PINmaster is an innovative solution for acceas control.,1
Collect,https://www.crunchbase.com/organization/collect-4dcd,Collect is a mobile app that allows users to order food without waiting in line.,0
Telehorse,https://www.crunchbase.com/organization/telehorse,Telehorse is a independent game studio.,0
Retixa,https://www.crunchbase.com/organization/retixa,"RETIXA SA is an innovative company, headquartered in Warsaw, Poland.",1
LiveCall,https://www.crunchbase.com/organization/livecall,LiveCall is a next-generation phone solution connecting businesses and customers.,1
7 Orders,https://www.crunchbase.com/organization/7-orders,7 Orders is a provider of online service for efficient and effective promotion of the network.,1
PeekQuick,https://www.crunchbase.com/organization/peekquick,The PeekQuick platform serves companies to obtain information from the market. ,1
Krajowy System Magazynów Energii,https://www.crunchbase.com/organization/krajowy-system-magazynów-energii,The company introduces technologies and tools to reduce electricity prices in NPS,1
Funiversity,https://www.crunchbase.com/organization/funiversity,Funiversity offers innovative research products for pre-school and schoolchildren.,0
Woodpecker.co,https://www.crunchbase.com/organization/woodpecker-co,Send cold emails & follow-ups automatically. Woodpecker.co helps you create personalized email outreach campaigns with reply detection. ,1
FunFotos,https://www.crunchbase.com/organization/funfotos,FunFotos is a manufacturer and operator of photo booths.,0
Smabbler,https://www.crunchbase.com/organization/smabbler,Transforming AI with Graph-based Memory and Knowledge,1
GeeksDeck,https://www.crunchbase.com/organization/geeksdeck,"Helps start-ups and SMEs on three levels - UI/UX, software development and business solutions.",1
AudioTrip,https://www.crunchbase.com/organization/audiotrip,"AudioTrip is a storytelling app, that guides you around the different places with voices of community.",0
Zercado,https://www.crunchbase.com/organization/zercado,"Intelligent mirrors, which automatically adapt for motorcyclist position.",0
Sugester,https://www.crunchbase.com/organization/sugester,"Sugester combines CRM, helpdesk and livechat features to deliver a one-stop solution for small businesses.",1
AlohaCamp,https://www.crunchbase.com/organization/alohacamp,"AlohaCamp is an online marketplace for booking nature spots like treehouses, glampings, and cabins.",0
Mimesis Technology,https://www.crunchbase.com/organization/mimesis-technology,Mimesis Technology is specialize in creating innovative devices based on the newest hardware and software technologies.,1
ChargeEuropa,https://www.crunchbase.com/organization/chargeeuropa,ChargeEuropa provides electronic vehicle charging services.,1
Liftero,https://www.crunchbase.com/organization/liftero,"Liftero provides propulsion systems, that can be produced at scale to meet the growing demands of the space market.",1
Worksmile,https://www.crunchbase.com/organization/fitqbe-sp-z-o-o,Worksmile is an all-in-one employee wellbeing platform which combines gaming and social networking with a benefit marketplace.,1
Foap AB,https://www.crunchbase.com/organization/foap-ab,Foap AB offers smartphone users and photographers the opportunity to earn money from their photos.,0
CliniNote,https://www.crunchbase.com/organization/clininote,CliniNote is a SaaS B2B player transforming the way clinical Real-World Data is created and used in global healthcare.,1
Shorte.st,https://www.crunchbase.com/organization/shorte-st,Shorte.st is a business that uses link shortening software and advertising networks to maximize website revenue.,1
Picodi.com,https://www.crunchbase.com/organization/international-coupons-2,We make the world spin around discounts.,0
Sotrender,https://www.crunchbase.com/organization/sotrender,No-bullshit analytics for social media,1
ConnectPoint,https://www.crunchbase.com/organization/connectpoint,ConnectPoint is an IT Solutions Provider and Data Specialist for Utilities and Industry.,1
Renters.pl,https://www.crunchbase.com/organization/renters-pl,Renters provides all-in-one management of short term rental real estate and marketplace.,1
Miesna Paczka,https://www.crunchbase.com/organization/stealth-mode-startup-0461,Miesna Paczka is a direct-to-consumer (DTC) e-commerce.,0
Daily,https://www.crunchbase.com/organization/daily-2acd,"Daily is an integrated logistics service that allows to provide a meal from nearby, high-quality restaurants to the customer.",0
Avalio,https://www.crunchbase.com/organization/avalio-0989,using AI to improve how the healthcare industry manages its admin operations in order to provide better patient care.,1
GLOV,https://www.crunchbase.com/organization/glov,GLOV is a supplier of cosmetic products.,0
IQ Biozoom,https://www.crunchbase.com/organization/iq-biozoom,IQ Biozoom introduces game-changing medical advances.,1
GlucoActive,https://www.crunchbase.com/organization/glucoactive,Non-invasive glucose monitoring,1
Cashy,https://www.crunchbase.com/organization/cashy-828c,Cashy is an early payment discount platform that helps companies to settle new payment dates of their invoices.,1
Versum,https://www.crunchbase.com/organization/versum,"Versum is software (SaaS) for efficient management of hairdressing salons, beauty salons and SPA.",1
4screens,https://www.crunchbase.com/organization/4screens,Real-time engagement platform for multi-screen world,1
Positionly,https://www.crunchbase.com/organization/positionly,Positionly enables users to track the position of their websites and measure the SEO performance of them.,1
Muzaic,https://www.crunchbase.com/organization/muzaic,"Muzaic is an app created with the use of medical knowledge, musical creativity, and innovative IT solutions.",1
ZEME,https://www.crunchbase.com/organization/zeme,ZEME is an industrial waste management services provider.,1
Transparent Data,https://www.crunchbase.com/organization/transparent-data,"Tech-driven company data provider & Data Software House that implements complex software projects, ensuring full data interoperability.",1
Juo,https://www.crunchbase.com/organization/juo,Juo builds the future of subscription technology.,1
SellIntegro,https://www.crunchbase.com/organization/sellintegro,SellIntegro is a developer of e-commerce management applications.,1
Cognitum,https://www.crunchbase.com/organization/cognitum,"Cognitum is a Semantic Tech vendors delivering innovative, scalable solutions for data acquisition, storage, searching and processing.",1
EduCat,https://www.crunchbase.com/organization/educat,EduCat is a online platform supporting the application process to foreign university,0
Her Impact,https://www.crunchbase.com/organization/her-impact,Her Impact is a one-stop shop platform for women career development.,0
Fuero Games,https://www.crunchbase.com/organization/fuero-games,Fuero Games is a dynamically growing mobile game development company.,0
Timerise,https://www.crunchbase.com/organization/timerise,Build custom booking experiences,1
Audiomagic,https://www.crunchbase.com/organization/audiomagic,Audiomagic is a high end audio equipment store & a community of music enthusiasts.,0
Prodio,https://www.crunchbase.com/organization/prodio,"Prodio is an online system for planning, controlling and accounting for production in small enterprises.",1
Climatica,https://www.crunchbase.com/organization/climatica,Climatica is the creator of a parametric insurance platform used to provide digital weather insurance.,1
Metis.finance,https://www.crunchbase.com/organization/metis-finance,Providing intelligent cash flow management for small and medium sized companies,1
Inovamed,https://www.crunchbase.com/organization/inovamed,Inovamedis is an orthopaedic equipment manufacturer and distributor.,1
Incuvo,https://www.crunchbase.com/organization/incuvo,Incuvo is a game development startup developing a free-to-play app called Createrria that lets users create their own games for the iPad.,0
Justtag Group,https://www.crunchbase.com/organization/justtag-group,Justtag increases advertising ROI of their clients with unique technologies and data.,1
Qpony,https://www.crunchbase.com/organization/qpony,"Qpony is a discount coupon site with promotional leaflets, sales, bargains, and discounts.",0
SEMSTORM International Sp. z o.o.,https://www.crunchbase.com/organization/semstorm-international-sp-z-o-o,SEMSTORM is operating in SaaS model. The tool enables planning and optimization of search engine campaigns. ,1
ABM Space,https://www.crunchbase.com/organization/abm-space,ABM Space develops mobile robotics and orbital measurement systems.,1
RevDeBug,https://www.crunchbase.com/organization/timemachinefor-net,RevDeBug enables developers to go back in time to track and fix the root cause of bugs.,1
Right Hello Sp. z o.o.,https://www.crunchbase.com/organization/right-hello-sp-z-o-o,Right Hello Sp. z o.o. helps B2B companies gain new customers by automating the direct sales process.  ,1
Something Random,https://www.crunchbase.com/organization/something-random,Something Random is a VR game studio.,0
Plan Be Eco,https://www.crunchbase.com/organization/plan-be-ee07,A comprehensive software to support the process of achieving climate neutrality reporting carbon footprint,1
Hustro,https://www.crunchbase.com/organization/hustro,Data-Driven Construction Control,1
Appsvio,https://www.crunchbase.com/organization/appsvio,Appsvio is an Atlassian Marketplace vendor with Silver Marketplace Partner badge.,1
re_data,https://www.crunchbase.com/organization/re-data,re_data is an information technology company that operates an open-source and dbt native framework to observe data stack.,1
SalesOn,https://www.crunchbase.com/organization/saleson,SalesOn is a sales enablement platform.,1
PressPad,https://www.crunchbase.com/organization/presspad,"PressPad is a mobile publishing platform for B2C, publishers, and custom publishing businesses.",0
Manubia,https://www.crunchbase.com/organization/manubia, Manubia is an online price monitoring and analysis.,1
Lean to Win,https://www.crunchbase.com/organization/lean-to-win,Pomagamy FIRMOM RODZINNYM w usprawnianiu i zarabianiu,1
Your Kaya,https://www.crunchbase.com/organization/your-kaya,"Your Kaya is a manufacturing company that sells a wide range of beauty and hygiene products for the body, hair, and skin.",0
insbay,https://www.crunchbase.com/organization/insbay,insbay is a marketing and advertising company.,1
Legimi,https://www.crunchbase.com/organization/legimi,"Legimi.com is a Polish online eBook store with books, magazines and blogs.",0
Okazjum.pl,https://www.crunchbase.com/organization/okazjum-pl,Okazjum.pl is a Polish site for local search and local promotion search.,0
Skubacz.pl Sp. z o.o,https://www.crunchbase.com/organization/skubacz-pl-sp-z-o-o,"Skubacz.pl Sp. z o.o. operates an online platform, Restaumatic, that offers food ordering and delivery services.",0
Social WiFi,https://www.crunchbase.com/organization/social-wifi,Social WiFi helps businesses to provide their customers a better digital experience that drives return visits and online recommendations.,1
Primeon,https://www.crunchbase.com/organization/primeon,Primeon is a Platform for comprehensive management of a language school and a tool for building a competitive advantage.,1
BusyFlow,https://www.crunchbase.com/organization/busyflow,BusyFlow is a workspace that integrates cloud-based productivity and collaboration apps.,0
Lunching.pl,https://www.crunchbase.com/organization/lunching-pl,"Thanks to Lunching, every company can easily finance dinners delivered to the office from many restaurants.",1
Nekera,https://www.crunchbase.com/organization/nekera,Nekera is a tour operator that provides a travel e-commerce platform.,0
Customy,https://www.crunchbase.com/organization/customy,Customy develops software that adapts 3D printing for surgical applications,1
Allani,https://www.crunchbase.com/organization/allani,"Allani makes fashion shopping online easier, and even more fun.",0
DobryMechanik.pl,https://www.crunchbase.com/organization/dobrymechanik-pl,DobryMechanik is a digital platform that offers mechanic services and online appointment booking services.,0
Gizmi,https://www.crunchbase.com/organization/gizmi,We shorten the purchase process which allows to sell any product in any place at Internet without online store.,0
IC Solutions,https://www.crunchbase.com/organization/ic-solutions,ICSolutions is a data digitization platform that offers artificial intelligence and alternative methods of communicating with computers.,1
Mustache Warsaw,https://www.crunchbase.com/organization/mustache-pl,Mustache Warsaw owns and operates an online retail site.,0
EkoFachowcy.pl,https://www.crunchbase.com/organization/ekofachowcy-pl,EkoFachowcy enables anyone to compare and select the best offers of renewable energy sources.,1
Deor,https://www.crunchbase.com/organization/deor,Marketplace for all the animals lovers,0
Absolvent,https://www.crunchbase.com/organization/absolvent,Absolvent operates a social recruitment platform for students and graduates.,0
Nextline Search Fund,https://www.crunchbase.com/organization/nextline-search-fund,Nextline Search Fund is an investment vehicle that seeks to acquires and invest in a private company.,1
Consonance,https://www.crunchbase.com/organization/consonance,We develop medical devices and software from idea to operational product.,1
DrOmnibus,https://www.crunchbase.com/organization/dr-omnibus,DrOmnibus provides digital platform supporting therapy of children with developmental disorders.,0
Feedink Sp. z o.o.,https://www.crunchbase.com/organization/feedink-sp-z-o-o,Feedink Sp. z o.o. provides professional services for creating and managing product feed. ,1
Rebel Module,https://www.crunchbase.com/organization/rebel-module,"Rebel Module Global is a production company, focused on designing and prefabrication of energy-saving module homes.",0
Tripsomnia,https://www.crunchbase.com/organization/tripsomnia,Tripsomnia - A SocialTravel Company.,0
Geekforce,https://www.crunchbase.com/organization/geekforce,GeekForce is a software development company.,1
UseItBetter Analytics,https://www.crunchbase.com/organization/use-it-better,"Capture, Understand and Optimize Customer Experience",1
XTRF Translation Management Systems,https://www.crunchbase.com/organization/xtrf-translation-management-systems,XTRF is one of the most popular and fastest growing management platform for translation agencies and corporate translation departments.,1
Edualy,https://www.crunchbase.com/organization/stealth-mode-startup-a746,Edualy develops an online tutoring platform specializing in science and foreign languages.,0
Traceroute42,https://www.crunchbase.com/organization/traceroute42,"Traceroute42 provides technical expertise, guidance and knowledge, managed services, and reliable support.",1
BoxofAds.com Sp. z o.o.,https://www.crunchbase.com/organization/boxofads-com-sp-z-o-o,BoxofAds.com Sp. z o.o. provides a database of digital ads and advertisers on the Internet. ,1
FlyTech UAV,https://www.crunchbase.com/organization/flytech-uav,"FlyTech UAV has been manufacturing professional, unmanned aircraft systems for specialized uses: photogrammetry, remote sensing, SAR.",1
Colibri IO,https://www.crunchbase.com/organization/colibri-tool,"Colibri IO is a provider of software tools, allowing its users to monitor and track their brands online.",1
Key2Print.com,https://www.crunchbase.com/organization/key2print-com,Key2Print offers a software solution that enables printing houses to connect with their clients via desktop and mobile devices.,0
PK Energia,https://www.crunchbase.com/organization/pk-energia,PK Energia strives to ensure renewable energy sources.,1
Digital Teammates,https://www.crunchbase.com/organization/digital-teammates,Software processes in business operations via the RPA,1
Natura Cold Press,https://www.crunchbase.com/organization/natura-cold-press,D2C producer of cold pressed juices for the most demanding customers,0
Open Quiz,https://www.crunchbase.com/organization/open-quiz,Open Quiz is a game development that designs and develops mobile games and live entertainment.,0
Blue Dot Solutions,https://www.crunchbase.com/organization/blue-dot-solutions,Consulting and R&D in downstream space sector,1
FANPOINT,https://www.crunchbase.com/organization/fanpoint,Social Media Engagement Platform!,0
REDS SA,https://www.crunchbase.com/organization/reds-sa,REDS SA is developing software.,0
Ifinity,https://www.crunchbase.com/organization/ifinity,We bring you Geos - an operating system for businesses and governments to create indoor navigation and to manage smart sensors.,1
Electron Square,https://www.crunchbase.com/organization/electron-square,Electron Square is a marketplace for modular engineering and rapid prototyping.,1
Recognize.im,https://www.crunchbase.com/organization/itraff-technology,Recognize.im is mobile technology firm provides image recognition technology to create your own mobile application.,0
Quiki app,https://www.crunchbase.com/organization/quiki-app,"Quiki is a social, mobile game bringing the people together through multi-language flirting.",0
Saloner,https://www.crunchbase.com/organization/saloner,Saloner is a beauty salon marketplace and discovery platform coming with a SaaS for managers.,0
ZenCard,https://www.crunchbase.com/organization/zencard,ZenCard is a customizable loyalty redemption platform.,0
CyberRescue,https://www.crunchbase.com/organization/cyberrescue,CyberRescue supports customers in the event of cyber crimes with an all-round step-by-step service to limit and repair the damage inflicted.,1
MyLED,https://www.crunchbase.com/organization/myled,MYLED has created and developed a platform that allows you to consolidate the market of electronic advertising media in Indoor and Outdoor,1
Cloud Your Car,https://www.crunchbase.com/organization/cloud-your-car,Cloud Your Car is a cloud based car fleet managements platform.,1
MixTube,https://www.crunchbase.com/organization/mixtube,Your collective party playlist.,0
OpenCard Sp. z oo,https://www.crunchbase.com/organization/opencard-sp-z-oo,OpenCard Sp. z oo is a operator of loyalty programs for gastronomy.,1
Pressium,https://www.crunchbase.com/organization/pressium,"Pressium offers a toolkit that enables users to create, distribute, and track press releases.",1
Ortopedio.pl,https://www.crunchbase.com/organization/ortopedio-pl,"Ortopedio.pl sells wheelchair, stairclimbers, and rehabilitation equipment.",0
MyBaze,https://www.crunchbase.com/organization/mybaze,"MyBaze is a design marketplace that offers fashionable collections of women's, men's, and children's clothing.",0
Tourmedica.pl,https://www.crunchbase.com/organization/tourmedica-pl,Tourmedica.pl is a medical services platform.,0
Higgsone,https://www.crunchbase.com/organization/higgsone,"Higgsone offers wearables that analyze biosignals from built-in motion detectors, training load, and muscle use imbalance trackers.",0
Smartzilla,https://www.crunchbase.com/organization/smartzilla,Smartzilla produces mobile software for tablets and smartphones.,0
Skilltelligence,https://www.crunchbase.com/organization/skilltelligence,Skilltelligence is a self-service platform enabling immediate access to reliable and up-to-date market information.,1
Stick and Play,https://www.crunchbase.com/organization/stick-and-play,Stick and Play offers a Facebook feed gaming service for brands and developers to develop and create Facebook-based games.,0
DEBN,https://www.crunchbase.com/organization/debn,Unique medical device to protect patients from infections associated with prostate biopsy,1
SpecPrawnik,https://www.crunchbase.com/organization/specprawnik,Specprawnik.pl is the first nationwide service allowing for quick contact with an experienced lawyer. ,0
NanoStal,https://www.crunchbase.com/organization/nanostal,NanoStal is to develop and implement new technologies in the steel nano-structuration industry.,1
Best Capital,https://www.crunchbase.com/organization/best-capital,Best Capital raises capital for companies through issue of bonds and shares routed to individual and institutional investors.,1
UsabilityTools,https://www.crunchbase.com/organization/usabilitytools-com,Optimize websites for better user experience and higher conversion,1
EduKoala,https://www.crunchbase.com/organization/edukoala,EduKoala is an Android application that enables users to learn languages on multiple devices.,0
Blast Lab Sp z o.o.,https://www.crunchbase.com/organization/blast-lab-sp-z-o-o-,"An R&D Lab for M2M, IoT, Beacons/BLE, Sensors. Founded by two Physicst. Outsourcing contracts for: Satel, Grupa Azoty.",1
Visuu,https://www.crunchbase.com/organization/visuu,Visuu is an online platform for consulting documents with the right lawyers.,0
Sharelook,https://www.crunchbase.com/organization/sharelook,Sharelook is a mobile-based personal shop assistant that provides fashion-related advisory services.,0
Power Canvas,https://www.crunchbase.com/organization/power-canvas,Power Canvas creates beautiful custom sports apparel.,0
BUY.BOX,https://www.crunchbase.com/organization/ads4books,Ads4books is the first network of effective advertisement which is dedicated to the book market.,1
KoalaMetrics,https://www.crunchbase.com/organization/koalametrics,KoalaMetrics determines psychographic profiles of your mobile users based on smartphone usage.,1
MexAd,https://www.crunchbase.com/organization/mexad,MexAd is a company that was acquired by dataxu in 2012.,1
LOFI Robot,https://www.crunchbase.com/organization/lofi-robot,LOFI Robot is an educational robot construction kit.,1
Sofia Soft,https://www.crunchbase.com/organization/sofia-soft,SofiaSoft developed an innovative system intended for supporting working teams that are doing tasks beyond their headquarters.,1
Reactivepad,https://www.crunchbase.com/organization/reactivepad,Reactivepad is a text editing platform that combines text and formulas for better data-driven content.,0
punk team,https://www.crunchbase.com/organization/punk-team,punk team build companies based on our ideas and introduce them to the market. ,1
Starbroker,https://www.crunchbase.com/organization/starbroker,Connecting real estate owners and brokers seamlessly to get the deal done,1
ProEnerga,https://www.crunchbase.com/organization/proenerga,ProEnerga operates in the area of R&D projects related to electric power.,1
Filmaster,https://www.crunchbase.com/organization/filmaster,Filmaster provides Netflix-like personalization and analytics solutions for the entertainment industry.,1
Nearbox,https://www.crunchbase.com/organization/nearbox,Nearbox is a hyperlocal communication app that lets users place their virtual mailbox on the map and leave a short message for anyone.,0
Vanta Oilfield,https://www.crunchbase.com/organization/vanta-oilfield,Vanta Oilfield distributes chemicals for oil and gas extraction industries.,1
Artspresso,https://www.crunchbase.com/organization/artspresso,Artspresso is the Art and interior design e-commerce.,0
Joymile,https://www.crunchbase.com/organization/joymile,"Joymile is an online platform that makes buying and selling premium car a safe, convenient, and desirable experience. ",0
Caterfly,https://www.crunchbase.com/organization/caterfly-pl,"Curated online marketplace for business catering. Caterfly is backed by Daftcode, leading Polish venture builder.",0
AdRino Sp. z o.o.,https://www.crunchbase.com/organization/adrino-sp-z-o-o,AdRino Sp. z o.o. provides mobile marketing services.,1
Fibratech,https://www.crunchbase.com/organization/fibratech,Composite automotive wheel made of dedicated textiles,0
Monitori,https://www.crunchbase.com/organization/monitori,Monitori is a portals for social media monitoring in Poland.,1
WeGirls,https://www.crunchbase.com/organization/wegirls,Supports children's education and personal development by combining the virtual and the real world of games and toys.,0
Mnumi,https://www.crunchbase.com/organization/mnumi,We know all about software for printing houses. We are printers ourselves,1
Gametrade Sp. z o.o.,https://www.crunchbase.com/organization/gametrade-sp-z-o-o,GameTrade.pl is a leader in used games market in Poland and one of the most popular gaming websites in the country. ,0
simAb,https://www.crunchbase.com/organization/simab,simAb develops therapies against cancer and metabolic diseases.,1
LipoLek,https://www.crunchbase.com/organization/lipolek,LipoLek develops pharmaceutical products based on the nanotechnology.,1
InventCore,https://www.crunchbase.com/organization/deligic,Provides multimedia software for development of an interactive video and solutions supporting application of multimedia in business.,1
Coolomat sp. Z oo,https://www.crunchbase.com/organization/coolomat-sp-z-oo,Coolomat sp. Z oo are a rapidly growing technology company specialized in providing innovative solutions.,1
Harimata,https://www.crunchbase.com/organization/harimata,Harimata combines psychology and technology to give children the best start in the future,0
Tequila Games Sp. z o.o.,https://www.crunchbase.com/organization/tequila-games-sp-z-o-o,"Tequila Games Sp. z o.o. is a fresh studio devoted to creating free, social games for mobile devices. ",0
Astronation,https://www.crunchbase.com/organization/astronation,Astronation passionates creating an endless sandbox VR world.,1
Teachsnap,https://www.crunchbase.com/organization/teachsnap,Teachsnap is a mobile learning management system.,0
BookLikes,https://www.crunchbase.com/organization/booklikes,Best book recommentation website.,0
PrivacyProtector,https://www.crunchbase.com/organization/embt,PrivacyProtector offers internet privacy protection services such as user traffic encryption and fragmentation.,1
Synati,https://www.crunchbase.com/organization/exon,"Synati develops solutions for retail traffic analysis, including the bestselling wireless footfall counter exon.",1
Interactive Research Center Sp. z o.o.,https://www.crunchbase.com/organization/interactive-research-center-sp-z-o-o,Interactive Research Center Sp. z o.o. provides research based on semantic Web crawling that tracks changes and trends on sites. ,1
Shiny Group Sp. z o.o.,https://www.crunchbase.com/organization/shiny-group-sp-z-o-o,Shiny Group Sp. z o.o. delivers subscription box prepared by the celebrities to the subscribers.,0
RoboCamp,https://www.crunchbase.com/organization/robocamp,"RoboCAMP curriculum gives children aged 6-14 the opportunity to take part in fascinating extracurricular classes, summer workshops.",0
Pin Your Client,https://www.crunchbase.com/organization/pin-your-client,Pin Your Client offers a range of predictive analytics software solutions for SaaS-based platforms.,1
Smart 55,https://www.crunchbase.com/organization/smart-55,Smart55 is e-commerce and advertising in-content platform. ,1
Remasters,https://www.crunchbase.com/organization/remasters,Remasters develops technology to synthesize new restriction enzymes.,1
Sky Storage,https://www.crunchbase.com/organization/sky-storage,"Sky Storage provides cloud-based synchronization, sharing, and data backup services.",1
Kangur,https://www.crunchbase.com/organization/kangur,Kangur creates and publishes family board games,0
PCDOC Sp. z o.o.,https://www.crunchbase.com/organization/pcdoc-sp-z-o-o,PCDOC Sp. z o.o. provides on-site computer repair services. ,0
TAXI5.pl,https://www.crunchbase.com/organization/taxi5-pl,TAXI5.pl offers online taxi booking services for Android and iOS devices.,0
xpress delivery,https://www.crunchbase.com/organization/xpress-delivery,xpress delivery is a same-day delivery service for e-commerce.,0
StructView,https://www.crunchbase.com/organization/structview,StructView offers an innovative suite of solutions that enhance static pages and web applications with 3D components.,1
SalesMedia,https://www.crunchbase.com/organization/salesmedia,SalesMedia operate on the affiliate marketing market. ,1
LadyTime.pl,https://www.crunchbase.com/organization/ladytime-pl,LadyTime.pl is an online marketplace for beauty and wellness business.,0
Gaming Live TV,https://www.crunchbase.com/organization/gaming-live-tv,Gaming Live is a live-streaming platform for gaming and eSports markets with the elements of an online networking service.,0
Enteye,https://www.crunchbase.com/organization/enteye,Develop and deploy scalable predictive maintenance solutions for industry machines.,1
Duckie Deck,https://www.crunchbase.com/organization/duckie-deck,"Duckie Deck creates learning games for kids aged 2-5. There are tons of educational games out there teaching numbers, letters and colors.",0
Baby's Secret,https://www.crunchbase.com/organization/baby-s-secret,"Baby's Secret is the first club I'm purchasing for. Inside you'll find smart toys, interesting and beautiful textiles accessories",0
Webumbrella Sp. z o.o.,https://www.crunchbase.com/organization/webumbrella-sp-z-o-o,"Webumbrella is a complete, non-stop protection designed to help your bussines achieve highest standards possible. ",1
Fusion Sheep,https://www.crunchbase.com/organization/fusion-sheep,Fusion Sheep is a developer of remote controls that can be integrated with user social networks to provide a personalized experience.,1
Appvetica,https://www.crunchbase.com/organization/appvetica,Appvetica is a software development lab specializing in mobile apps.,0
Beta Scuderia Sp Z O O,https://www.crunchbase.com/organization/beta-scuderia-sp-z-o-o,Beta Scuderia Sp Z O O offers car parking and classic car concierge. ,0
Fashionote,https://www.crunchbase.com/organization/fashionote,Fashionote is a mobile application to connect print magazines with mCommerce.,1
Pistachio,https://www.crunchbase.com/organization/pistachio-c634,Pistachio is an AI cybersecurity awareness training platform that offers users preparation and response to cybersecurity threats.,1
Strise,https://www.crunchbase.com/organization/strise,"Strise spearheads the AML Intelligence revolution, marking a shift where AML teams are not just a cost but vital enablers for organisations.",1
Xeneta,https://www.crunchbase.com/organization/xeneta,Xeneta is an ocean freight rate benchmarking and market intelligence platform and index.,1
Vev,https://www.crunchbase.com/organization/vev,The all-in-one design platform for professionals to create and launch unique web experiences with complete creative and technical freedom.,1
Iris.ai,https://www.crunchbase.com/organization/iris-ai,Iris.ai provides an AI science assistant that helps R&D departments navigate and find research text content.,1
Aquabyte,https://www.crunchbase.com/organization/aquabyte,Aquabyte builds machine learning camera IOT software to directly solve the world’s food sustainability issues.,1
Evyon,https://www.crunchbase.com/organization/eyvon,"Evyon leverages a data-driven approach to repurpose discarded EV batteries into high-quality, sustainable and scalable battery systems.",1
Glint Solar,https://www.crunchbase.com/organization/glint-solar,Glint Solar provides software for identifying and analyzing solar project sites.,1
Atlas,https://www.crunchbase.com/organization/atlas-d6b5,"Atlas is an all-in-one platform for creating, collaborating on, and sharing custom maps and performing geospatial analysis.",1
Databutton,https://www.crunchbase.com/organization/databutton,Databutton is an online app creator that enables the next generation of innovators and entrepreneurs.,1
Chooose,https://www.crunchbase.com/organization/chooose,Chooose builds software to enable the lower carbon fuel value chain.,1
Enode,https://www.crunchbase.com/organization/enode,Enode is accelerating the transition to a sustainable energy system by connecting and optimizing the world’s energy devices.,1
